gt_label,metric_name,n_samples,flip_rate,metric_mean,run
645,pred_changed,10,0.0,0.0,imagenet_mnv2_050_exact
645,topk_exit,10,0.045,0.045,imagenet_mnv2_050_exact
645,gt_prob_drop,10,,0.010381882137153298,imagenet_mnv2_050_exact
645,gt_logit_drop,10,,0.20699429560452703,imagenet_mnv2_050_exact
645,margin_drop,10,,0.11051521018147466,imagenet_mnv2_050_exact
645,loss_increase,10,,0.02813616477338478,imagenet_mnv2_050_exact
645,gt_rank_worsening,10,,0.065,imagenet_mnv2_050_exact
311,flip_correct_to_wrong,10,0.017499999999999998,0.017499999999999998,imagenet_mnv2_050_exact
311,flip_wrong_to_correct,10,0.005,0.005,imagenet_mnv2_050_exact
311,pred_changed,10,0.04375,0.04375,imagenet_mnv2_050_exact
311,topk_exit,10,0.05,0.05,imagenet_mnv2_050_exact
311,gt_prob_drop,10,,0.008096214266261087,imagenet_mnv2_050_exact
311,gt_logit_drop,10,,0.10364232040941715,imagenet_mnv2_050_exact
311,margin_drop,10,,0.058160598799586294,imagenet_mnv2_050_exact
311,loss_increase,10,,0.03666504181953324,imagenet_mnv2_050_exact
311,gt_rank_worsening,10,,0.16375,imagenet_mnv2_050_exact
457,flip_correct_to_wrong,10,0.0075000000000000015,0.0075000000000000015,imagenet_mnv2_050_exact
457,flip_wrong_to_correct,10,0.015,0.015,imagenet_mnv2_050_exact
457,pred_changed,10,0.06375,0.06375,imagenet_mnv2_050_exact
457,topk_exit,10,0.0125,0.0125,imagenet_mnv2_050_exact
457,gt_prob_drop,10,,0.000983436559326947,imagenet_mnv2_050_exact
457,gt_logit_drop,10,,0.11981905765831471,imagenet_mnv2_050_exact
457,margin_drop,10,,0.017764996066689492,imagenet_mnv2_050_exact
457,loss_increase,10,,0.016539611000030548,imagenet_mnv2_050_exact
457,gt_rank_worsening,10,,0.22749999999999998,imagenet_mnv2_050_exact
22,flip_correct_to_wrong,10,0.0,0.0,imagenet_mnv2_050_exact
22,flip_wrong_to_correct,10,0.00125,0.00125,imagenet_mnv2_050_exact
22,pred_changed,10,0.0225,0.0225,imagenet_mnv2_050_exact
22,topk_exit,10,0.0,0.0,imagenet_mnv2_050_exact
22,gt_prob_drop,10,,0.0019332078113802709,imagenet_mnv2_050_exact
22,gt_logit_drop,10,,0.1605401173606515,imagenet_mnv2_050_exact
22,margin_drop,10,,0.025674769878387453,imagenet_mnv2_050_exact
22,loss_increase,10,,0.004356018628862348,imagenet_mnv2_050_exact
22,gt_rank_worsening,10,,0.07375000000000001,imagenet_mnv2_050_exact
528,flip_correct_to_wrong,10,0.005,0.005,imagenet_mnv2_050_exact
528,flip_wrong_to_correct,10,0.05,0.05,imagenet_mnv2_050_exact
528,pred_changed,10,0.08,0.08,imagenet_mnv2_050_exact
528,topk_exit,10,0.009999999999999998,0.009999999999999998,imagenet_mnv2_050_exact
528,gt_prob_drop,10,,0.008088818212199839,imagenet_mnv2_050_exact
528,gt_logit_drop,10,,0.14340196818113324,imagenet_mnv2_050_exact
528,margin_drop,10,,0.05169388502836227,imagenet_mnv2_050_exact
528,loss_increase,10,,0.029649899863870472,imagenet_mnv2_050_exact
528,gt_rank_worsening,10,,0.215,imagenet_mnv2_050_exact
977,flip_correct_to_wrong,10,0.0025,0.0025,imagenet_mnv2_050_exact
977,flip_wrong_to_correct,10,0.0,0.0,imagenet_mnv2_050_exact
977,pred_changed,10,0.057499999999999996,0.057499999999999996,imagenet_mnv2_050_exact
977,topk_exit,10,0.017499999999999998,0.017499999999999998,imagenet_mnv2_050_exact
977,gt_prob_drop,10,,0.004740420964080841,imagenet_mnv2_050_exact
977,gt_logit_drop,10,,0.1302167400345206,imagenet_mnv2_050_exact
977,margin_drop,10,,0.05176088213920593,imagenet_mnv2_050_exact
977,loss_increase,10,,0.02803595216876345,imagenet_mnv2_050_exact
977,gt_rank_worsening,10,,-0.0475,imagenet_mnv2_050_exact
637,flip_correct_to_wrong,10,0.0125,0.0125,imagenet_mnv2_050_exact
637,flip_wrong_to_correct,10,0.0,0.0,imagenet_mnv2_050_exact
637,pred_changed,10,0.013750000000000002,0.013750000000000002,imagenet_mnv2_050_exact
637,topk_exit,10,0.0,0.0,imagenet_mnv2_050_exact
637,gt_prob_drop,10,,0.006271049520528323,imagenet_mnv2_050_exact
637,gt_logit_drop,10,,0.11972924333065746,imagenet_mnv2_050_exact
637,margin_drop,10,,0.03329820170998573,imagenet_mnv2_050_exact
637,loss_increase,10,,0.02601449378567202,imagenet_mnv2_050_exact
